"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Native Status","Federal Noxious Status","Federal Noxious Common Name","State Noxious Status","State Noxious Common Name","Invasive"
"BOPI","","BOPI","Botrychium pinnatum","L48(N)AK(N)CAN(N)GL(N)","","","","",""
"BOPS","","BOPS","Botrychium pseudopinnatum","L48(N)CAN(N)","","","","",""
"BOPU2","","BOPU2","Botrychium pumicola","L48(N)","","","","",""
"BORO6","","BORO6","Botrychium robustum","AK(N)","","","","",""
"BORU","","BORU","Botrychium rugulosum","L48(N)CAN(N)","","","","",""
"BOSI","","BOSI","Botrychium simplex","L48(N)AK(N)CAN(N)GL(N)","","","","",""
"BOSP4","","BOSP4","Botrychium spathulatum","L48(N)AK(N)CAN(N)","","","","",""
"BOTU3","","BOTU3","Botrychium tunux","L48(N)AK(N)","","","","",""
"BOVI","","BOVI","Botrychium virginianum","L48(N)AK(N)CAN(N)","","","","",""
"BOYA","","BOYA","Botrychium yaaxudakeit","AK(N)","","","","",""
"BOUCH","","BOUCH","Bouchea","L48(N)","","","","",""
"BOLI3","","BOLI3","Bouchea linifolia","L48(N)","","","","",""
"BOPR","","BOPR","Bouchea prismatica","L48(N)PR(N)VI(N)","","","","",""
"BOSP2","","BOSP2","Bouchea spathulata","L48(N)","","","","",""
"BOUCH2","","BOUCH2","Bouchetia","L48(N)","","","","",""
"BOER3","","BOER3","Bouchetia erecta","L48(N)","","","","",""
"BOUGA","","BOUGA","Bougainvillea","L48(I)","","","","",""
"BOBU3","","BOBU3","Bougainvillea ×buttiana","L48(I)","","","","",""
"BOGL4","","BOGL4","Bougainvillea glabra","L48(I)PR(I)VI(I)","","","","",""
"BOSP6","","BOSP6","Bougainvillea spectabilis","L48(I)PR(I)","","","","",""
"BOURR","","BOURR","Bourreria","L48(N)","","","","",""
"BOCA4","","BOCA4","Bourreria cassinifolia","L48(N)","","","","",""
"BORA2","","BORA2","Bourreria radula","L48(N)PR(N)","","","","",""
"BOSU2","","BOSU2","Bourreria succulenta","L48(N)PR(N)VI(N)","","","","",""
"BOVI2","","BOVI2","Bourreria virgata","PR(N)","","","","",""
"BOUTE","","BOUTE","Bouteloua","L48(I,N)CAN(N)","","","","",""
"BOAM2","","BOAM2","Bouteloua americana","PR(N)VI(N)","","","","",""
"BOAR","","BOAR","Bouteloua aristidoides","L48(N)","","","","",""
"BOARA","","BOARA","Bouteloua aristidoides var. aristidoides","L48(N)","","","","",""
"BOARA2","","BOARA2","Bouteloua aristidoides var. arizonica","L48(N)","","","","",""
"BOBA2","","BOBA2","Bouteloua barbata","L48(N)","","","","",""
"BOBR","","BOBR","Bouteloua breviseta","L48(N)","","","","",""
"BOCH","","BOCH","Bouteloua chondrosioides","L48(N)","","","","",""
"BOCU","","BOCU","Bouteloua curtipendula","L48(N)HI(I)CAN(N)","","","","",""
"BOCUC","","BOCUC","Bouteloua curtipendula var. caespitosa","L48(N)","","","","",""
"BOCUC2","","BOCUC2","Bouteloua curtipendula var. curtipendula","L48(N)HI(I)CAN(N)","","","","",""
"BODA2","","BODA2","Bouteloua dactyloides","L48(N)CAN(N)","","","","",""
"BODI6","","BODI6","Bouteloua dimorpha","L48(I)","","","","",""
"BODI7","","BODI7","Bouteloua diversispicula","L48(N)","","","","",""
"BOEL","","BOEL","Bouteloua eludens","L48(N)","","","","",""
"BOER4","","BOER4","Bouteloua eriopoda","L48(N)","","","","",""
"BOGR2","","BOGR2","Bouteloua gracilis","L48(N)CAN(N)","","","","",""
"BOHI2","","BOHI2","Bouteloua hirsuta","L48(N)","","","","",""
"BOHIH","","BOHIH","Bouteloua hirsuta var. hirsuta","L48(N)","","","","",""
"BOHIP","","BOHIP","Bouteloua hirsuta var. pectinata","L48(N)","","","","",""
"BOJU","","BOJU","Bouteloua juncea","PR(N)","","","","",""
"BOKA","","BOKA","Bouteloua kayi","L48(N)","","","","",""
"BOPA2","","BOPA2","Bouteloua parryi","L48(N)","","","","",""
"BORA","","BORA","Bouteloua radicosa","L48(N)","","","","",""
"BORA4","","BORA4","Bouteloua ramosa","L48(N)","","","","",""
"BORE2","","BORE2","Bouteloua repens","L48(N)PR(N)","","","","",""
"BORI","","BORI","Bouteloua rigidiseta","L48(N)","","","","",""
"BORO2","","BORO2","Bouteloua rothrockii","L48(N)","","","","",""
"BOSI2","","BOSI2","Bouteloua simplex","L48(N)","","","","",""
"BOTR2","","BOTR2","Bouteloua trifida","L48(N)","","","","",""
"BOTRB","","BOTRB","Bouteloua trifida var. burkii","L48(N)","","","","",""
"BOTRT","","BOTRT","Bouteloua trifida var. trifida","L48(N)","","","","",""
"BOUN","","BOUN","Bouteloua uniflora","L48(N)","","","","",""
"BOWA","","BOWA","Bouteloua warnockii","L48(N)","","","","",""
"BOUVA","","BOUVA","Bouvardia","L48(N)","","","","",""
"BOTE2","","BOTE2","Bouvardia ternifolia","L48(N)","","","","",""
"BOWLE","","BOWLE","Bowlesia","L48(N)","","","","",""
"BOIN3","","BOIN3","Bowlesia incana","L48(N)","","","","",""
"BOYKI","","BOYKI","Boykinia","L48(N)CAN(N)","","","","",""
"BOAC","","BOAC","Boykinia aconitifolia","L48(N)","","","","",""
"BOIN4","","BOIN4","Boykinia intermedia","L48(N)","","","","",""
"BOMA3","","BOMA3","Boykinia major","L48(N)","","","","",""
"BOOC2","","BOOC2","Boykinia occidentalis","L48(N)CAN(N)","","","","",""
"BORI2","","BORI2","Boykinia richardsonii","AK(N)CAN(N)NA(N)","","","","",""
"BORO3","","BORO3","Boykinia rotundifolia","L48(N)","","","","",""
"BRACH11","","BRACH11","Brachelyma","NA(N)","","","","",""
"BRSU8","","BRSU8","Brachelyma subulatum","NA(N)","","","","",""
"BRACH","","BRACH","Brachiaria","L48(I)","","","","",""
"BRER","","BRER","Brachiaria eruciformis","L48(I)","","","","",""
"BRMO6","","BRMO6","Brachiaria mollis","","","","","",""
"BRNI5","","BRNI5","Brachiaria nigropedata","","","","","",""
"BRSE8","","BRSE8","Brachiaria serrata","","","","","",""
"BRACH4","","BRACH4","Brachionidium","","","","","",""
"BRCI4","","BRCI4","Brachionidium ciliolatum","PR(N)","","","","",""
"BRDI17","","BRDI17","Brachionidium distichophylla","","","","","",""
"BRPA19","","BRPA19","Brachionidium parvum","","","","","",""
"BRSH3","","BRSH3","Brachionidium sherringii","PR(N)","","","","",""
"BRACH14","","BRACH14","Brachyachne","","","","","",""
"BRCO15","","BRCO15","Brachyachne convergens","","","","","",""
"BRACH13","","BRACH13","Brachychiton","L48(I)","","","","",""
"BRAC7","","BRAC7","Brachychiton acerifolius","","","","","",""
"BRPO6","","BRPO6","Brachychiton populneum","L48(I)VI(I)","","","","",""
"BRACH9","","BRACH9","Brachydontium","NA(N)","","","","",""
"BROL2","","BROL2","Brachydontium olympicum","NA(N)","","","","",""
"BRTR4","","BRTR4","Brachydontium trichodes","NA(N)","","","","",""
"BRACH2","","BRACH2","Brachyelytrum","L48(N)CAN(N)SPM(N)","","","","",""
"BRAR9","","BRAR9","Brachyelytrum aristosum","L48(N)CAN(N)SPM(N)","","","","",""
"BRER2","","BRER2","Brachyelytrum erectum","L48(N)PR(N)CAN(N)","","","","",""
"BRACH12","","BRACH12","Brachymenium","NA(N)","","","","",""
"BRAN6","","BRAN6","Brachymenium andersonii","NA(N)","","","","",""
"BRER7","","BRER7","Brachymenium erectum","NA(N)","","","","",""
"BRKL","","BRKL","Brachymenium klotzschii","NA(N)","","","","",""
"BRSP7","","BRSP7","Brachymenium speciosum","NA(N)","","","","",""
"BRSY2","","BRSY2","Brachymenium systylium","NA(N)","","","","",""
"BRACH3","","BRACH3","Brachypodium","L48(I)","","","","",""
"BRDI2","","BRDI2","Brachypodium distachyon","L48(I)HI(I)","","","","","Cal-IPC"
"BRPH3","","BRPH3","Brachypodium phoenicoides","L48(I)","","","","",""
"BRPI","","BRPI","Brachypodium pinnatum","L48(I)","","","","",""
"BRRE9","","BRRE9","Brachypodium retusum","","","","","",""
"BRRU9","","BRRU9","Brachypodium rupestre","L48(I)","","","","",""
"BRRUC2","","BRRUC2","Brachypodium rupestre ssp. caespitosum","L48(I)","","","","",""
"BRSY","","BRSY","Brachypodium sylvaticum","L48(I)","","","OR(BDW)","OR (false brome)","STATE"
"BRACH5","","BRACH5","Brachystigma","L48(N)","","","","",""
"BRWR","","BRWR","Brachystigma wrightii","L48(N)","","","","",""
"BRACH10","","BRACH10","Brachythecium","NA(N)","","","","",""
"BRAC3","","BRAC3","Brachythecium acuminatum","NA(N)","","","","",""
"BRAC4","","BRAC4","Brachythecium acutum","NA(N)","","","","",""
"BRAL70","","BRAL70","Brachythecium albicans","NA(N)","","","","",""
"BRBI4","","BRBI4","Brachythecium biventrosum","NA(N)","","","","",""
"BRBO","","BRBO","Brachythecium bolanderi","NA(N)","","","","",""
"BRCA70","","BRCA70","Brachythecium calcareum","NA(N)","","","","",""
"BRCA18","","BRCA18","Brachythecium campestre","NA(N)","","","","",""
"BRCO12","","BRCO12","Brachythecium collinum","NA(N)","","","","",""
"BRDE9","","BRDE9","Brachythecium delicatulum","NA(N)","","","","",""
"BRDI11","","BRDI11","Brachythecium digastrum","NA(N)","","","","",""
"BRER8","","BRER8","Brachythecium erythrorrhizon","NA(N)","","","","",""
"BRFE4","","BRFE4","Brachythecium fendleri","NA(N)","","","","",""
"BRFR70","","BRFR70","Brachythecium frigidum","NA(N)","","","","",""
"BRGL2","","BRGL2","Brachythecium glaciale","NA(N)","","","","",""
"BRGR10","","BRGR10","Brachythecium groenlandicum","NA(N)","","","","",""
"BRHO4","","BRHO4","Brachythecium holzingeri","NA(N)","","","","",""
"BRHY","","BRHY","Brachythecium hylotapetum","NA(N)","","","","",""
"BRLE9","","BRLE9","Brachythecium leibergii","NA(N)","","","","",""
"BRMI5","","BRMI5","Brachythecium mildeanum","NA(N)","","","","",""
"BRNE4","","BRNE4","Brachythecium nelsonii","NA(N)","","","","",""
"BROE","","BROE","Brachythecium oedipodium","NA(N)","","","","",""
"BROX2","","BROX2","Brachythecium oxycladon","NA(N)","","","","",""
"BRPL5","","BRPL5","Brachythecium plumosum","NA(N)","","","","",""
"BRPO4","","BRPO4","Brachythecium populeum","NA(N)","","","","",""
"BRRE7","","BRRE7","Brachythecium reflexum","NA(N)","","","","",""
"BRREP","","BRREP","Brachythecium reflexum var. pacificum","NA(N)","","","","",""
"BRRER","","BRRER","Brachythecium reflexum var. reflexum","NA(N)","","","","",""
"BRRI5","","BRRI5","Brachythecium rivulare","NA(N)","","","","",""
"BRRO5","","BRRO5","Brachythecium rotaeanum","NA(N)","","","","",""
"BRRU5","","BRRU5","Brachythecium rutabulum","NA(N)","","","","",""
"BRSA7","","BRSA7","Brachythecium salebrosum","NA(N)","","","","",""
"BRSAF","","BRSAF","Brachythecium salebrosum var. flaccidum","NA(N)","","","","",""
"BRSAS","","BRSAS","Brachythecium salebrosum var. salebrosum","NA(N)","","","","",""
"BRST4","","BRST4","Brachythecium starkei","NA(N)","","","","",""
"BRST5","","BRST5","Brachythecium stereopoma","NA(N)","","","","",""
"BRTR5","","BRTR5","Brachythecium trachypodium","NA(N)","","","","",""
"BRTU70","","BRTU70","Brachythecium turgidum","NA(N)","","","","",""
"BRVE7","","BRVE7","Brachythecium velutinum","NA(N)","","","","",""
"BRVEV2","","BRVEV2","Brachythecium velutinum var. velutinum","NA(N)","","","","",""
"BRVEV3","","BRVEV3","Brachythecium velutinum var. venustum","NA(N)","","","","",""
"BRACT","","BRACT","Bracteantha","L48(I)","","","","",""
"BRBR15","","BRBR15","Bracteantha bracteata","L48(I)PR(I)","","","","",""
"BRAND","","BRAND","Brandegea","L48(N)","","","","",""
"BRBI","","BRBI","Brandegea bigelovii","L48(N)","","","","",""
"BRASE","","BRASE","Brasenia","L48(N)CAN(N)","","","","",""
"BRSC","","BRSC","Brasenia schreberi","L48(N)AK(N)CAN(N)","","","","",""
"BRASI","","BRASI","Brasiliopuntia","L48(I)","","","","",""
"BRBR6","","BRBR6","Brasiliopuntia brasiliensis","L48(I)PR(I)","","","","",""
"BRASS3","","BRASS3","Brassavola","","","","","",""
"BRCU","","BRCU","Brassavola cucullata","PR(N)VI(N)","","","","",""
"BRNO3","","BRNO3","Brassavola nodosa","PR(N)","","","","",""
"BRASS4","","BRASS4","Brassia","L48(N)","","","","",""
"BRCA7","","BRCA7","Brassia caudata","L48(N)","","","","",""
"BRGI3","","BRGI3","Brassia gireoudiana","","","","","",""
"BRMA15","","BRMA15","Brassia maculata","","","","","",""
"BRASS2","","BRASS2","Brassica","L48(I)CAN(I,W)GL(I,W)","","","MI(NW)","MI (mustard)","STATE"
"BRAL8","","BRAL8","Brassica alboglabra","","","","","",""
"BRCA30","","BRCA30","Brassica carinata","","","","","",""
"BRCH4","","BRCH4","Brassica chinensis","","","","","",""
"BRCR4","","BRCR4","Brassica cretica","","","","","",""
"BREL2","","BREL2","Brassica elongata","L48(I)","","","","",""
"BRFR3","","BRFR3","Brassica fruticulosa","L48(I)","","","","",""
"BRJU","","BRJU","Brassica juncea","L48(I)AK(I)HI(I)PR(I)VI(I)CAN(I)","","","","","NE&GP"
"BRNA","","BRNA","Brassica napus","L48(I)AK(I)CAN(I)GL(I)","","","","",""
"BRNAN2","","BRNAN2","Brassica napus var. napus","L48(I)","","","","",""
"BRNAP","","BRNAP","Brassica napus var. pabularia","","","","","",""
"BRNA3","","BRNA3","Brassica narinosa","","","","","",""
"BRNI","","BRNI","Brassica nigra","L48(I)HI(I)CAN(I)","","","","","Cal-IPC, HEAR, WSWS"
"BROL","","BROL","Brassica oleracea","L48(I)PR(I)CAN(W)GL(W)","","","","",""
"BROLB","","BROLB","Brassica oleracea var. botrytis","","","","","",""
"BROLC2","","BROLC2","Brassica oleracea var. costata","","","","","",""
"BROLG","","BROLG","Brassica oleracea var. gemmifera","","","","","",""
"BROLG2","","BROLG2","Brassica oleracea var. gongylodes","","","","","",""
"BROLI","","BROLI","Brassica oleracea var. italica","L48(I)","","","","",""
"BRPA13","","BRPA13","Brassica parachinensis","","","","","",""
"BRPE3","","BRPE3","Brassica perviridis","","","","","",""
"BRRA","","BRRA","Brassica rapa","L48(I)AK(I)HI(I)CAN(I)GL(I)","","","","","SWSS, WSWS"
"BRRAA","","BRRAA","Brassica rapa var. amplexicaulis","L48(I)HI(I)","","","","",""
"BRRAD","","BRRAD","Brassica rapa var. dichotoma","","","","","",""
"BRRAR","","BRRAR","Brassica rapa var. rapa","L48(I)AK(I)CAN(I)GL(I)","","","","",""
"BRRAS3","","BRRAS3","Brassica rapa var. silvestris","L48(I)","","","","",""
"BRRAT","","BRRAT","Brassica rapa var. trilocularis","","","","","",""
"BRRU3","","BRRU3","Brassica rupestris","","","","","",""
"BRRU4","","BRRU4","Brassica ruvo","","","","","",""
"BRSE5","","BRSE5","Brassica septiceps","","","","","",""
"BRSI5","","BRSI5","Brassica sisymbrioides","","","","","",""
"BRTO","","BRTO","Brassica tournefortii","L48(I)","","","","","Cal-IPC"
"BRAUN","","BRAUN","Braunia","NA(N)","","","","",""
"BRSE6","","BRSE6","Braunia secunda","NA(N)","","","","",""
"BRAYA","","BRAYA","Braya","L48(N)CAN(N)GL(N)","","","","",""
"BRFE3","","BRFE3","Braya fernaldii","CAN(N)NA(N)","","","","",""
"BRGL","","BRGL","Braya glabella","L48(N)AK(N)CAN(N)GL(N)","","","","",""
"BRGLG","","BRGLG","Braya glabella ssp. glabella","L48(N)AK(N)CAN(N)GL(N)","","","","",""
"BRGLP2","","BRGLP2","Braya glabella ssp. prostrata","CAN(N)NA(N)","","","","",""
"BRGLP","","BRGLP","Braya glabella ssp. purpurascens","AK(N)CAN(N)GL(N)NA(N)","","","","",""
"BRLI","","BRLI","Braya linearis","GL(N)","","","","",""
"BRLO2","","BRLO2","Braya longii","CAN(N)NA(N)","","","","",""
"BRPI2","","BRPI2","Braya pilosa","CAN(N)NA(N)","","","","",""
"BRTH","","BRTH","Braya thorild-wulffii","CAN(N)GL(N)NA(N)","","","","",""
"BRTHG","","BRTHG","Braya thorild-wulffii ssp. glabrata","CAN(N)NA(N)","","","","",""
"BRTHT","","BRTHT","Braya thorild-wulffii ssp. thorild-wulffii","CAN(N)GL(N)NA(N)","","","","",""
"BRAZO","","BRAZO","Brazoria","L48(N)","","","","",""
"BRAR","","BRAR","Brazoria arenaria","L48(N)","","","","",""
"BREN","","BREN","Brazoria enquistii","L48(N)","","","","",""
"BRTR","","BRTR","Brazoria truncata","L48(N)","","","","",""
"BRTRP","","BRTRP","Brazoria truncata var. pulcherrima","L48(N)","","","","",""
"BRTRT2","","BRTRT2","Brazoria truncata var. truncata","L48(N)","","","","",""
"BREYN","","BREYN","Breynia","L48(I)","","","","",""
"BRDI8","","BRDI8","Breynia disticha","L48(I)HI(I)PR(I)","","","","",""
"BRICK","","BRICK","Brickellia","L48(N)CAN(N)","","","","",""
"BRAM3","","BRAM3","Brickellia amplexicaulis","L48(N)","","","","",""
"BRAMA","","BRAMA","Brickellia amplexicaulis var. amplexicaulis","L48(N)","","","","",""
"BRAML","","BRAML","Brickellia amplexicaulis var. lanceolata","L48(N)","","","","",""
"BRAR2","","BRAR2","Brickellia arguta","L48(N)","","","","",""
"BRARA","","BRARA","Brickellia arguta var. arguta","L48(N)","","","","",""
"BRARO","","BRARO","Brickellia arguta var. odontolepis","L48(N)","","","","",""
"BRAT","","BRAT","Brickellia atractyloides","L48(N)","","","","",""
"BRBA2","","BRBA2","Brickellia baccharidea","L48(N)","","","","",""
"BRBE","","BRBE","Brickellia betonicifolia","L48(N)","","","","",""
"BRBR2","","BRBR2","Brickellia brachyphylla","L48(N)","","","","",""
"BRCA3","","BRCA3","Brickellia californica","L48(N)","","","","",""
"BRCAC","","BRCAC","Brickellia californica var. californica","L48(N)","","","","",""
"BRCAJ","","BRCAJ","Brickellia californica var. jepsonii","L48(N)","","","","",""
"BRCH","","BRCH","Brickellia chenopodina","L48(N)","","","","",""
"BRCO7","","BRCO7","Brickellia conduplicata","L48(N)","","","","",""
"BRCO8","","BRCO8","Brickellia cordifolia","L48(N)","","","","",""
"BRCO","","BRCO","Brickellia coulteri","L48(N)","","","","",""
"BRCY","","BRCY","Brickellia cylindracea","L48(N)","","","","",""
"BRDE2","","BRDE2","Brickellia dentata","L48(N)","","","","",""
"BRDE3","","BRDE3","Brickellia desertorum","L48(N)","","","","",""
"BRDI61","","BRDI61","Brickellia diffusa","","","","","",""
"BREU","","BREU","Brickellia eupatorioides","L48(N)","","","","",""
"BREUC2","","BREUC2","Brickellia eupatorioides var. chlorolepis","L48(N)","","","","",""
"BREUC","","BREUC","Brickellia eupatorioides var. corymbulosa","L48(N)","","","","",""
"BREUE","","BREUE","Brickellia eupatorioides var. eupatorioides","L48(N)","","","","",""
"BREUF","","BREUF","Brickellia eupatorioides var. floridana","L48(N)","","","","",""
"BREUG","","BREUG","Brickellia eupatorioides var. gracillima","L48(N)","","","","",""
"BREUT","","BREUT","Brickellia eupatorioides var. texana","L48(N)","","","","",""
"BRFL","","BRFL","Brickellia floribunda","L48(N)","","","","",""
"BRFR","","BRFR","Brickellia frutescens","L48(N)","","","","",""
"BRGR","","BRGR","Brickellia grandiflora","L48(N)CAN(N)","","","","",""
"BRGR2","","BRGR2","Brickellia greenei","L48(N)","","","","",""
"BRHI4","","BRHI4","Brickellia hinckleyi","L48(N)","","","","",""
"BRHIH","","BRHIH","Brickellia hinckleyi var. hinckleyi","L48(N)","","","","",""
"BRHIT","","BRHIT","Brickellia hinckleyi var. terlinguensis","L48(N)","","","","",""
"BRIN","","BRIN","Brickellia incana","L48(N)","","","","",""
"BRKN","","BRKN","Brickellia knappiana","L48(N)","","","","",""
"BRLA","","BRLA","Brickellia laciniata","L48(N)","","","","",""
"BRLE","","BRLE","Brickellia lemmonii","L48(N)","","","","",""
"BRLEL","","BRLEL","Brickellia lemmonii var. lemmonii","L48(N)","","","","",""
"BRLEW","","BRLEW","Brickellia lemmonii var. wootonii","L48(N)","","","","",""
"BRLO","","BRLO","Brickellia longifolia","L48(N)","","","","",""
"BRLOL3","","BRLOL3","Brickellia longifolia var. longifolia","L48(N)","","","","",""
"BRLOM","","BRLOM","Brickellia longifolia var. multiflora","L48(N)","","","","",""
"BRMI","","BRMI","Brickellia microphylla","L48(N)","","","","",""
"BRMIM","","BRMIM","Brickellia microphylla var. microphylla","L48(N)","","","","",""
"BRMIS","","BRMIS","Brickellia microphylla var. scabra","L48(N)","","","","",""
"BRMIW","","BRMIW","Brickellia microphylla var. watsonii","L48(N)","","","","",""
"BRNE","","BRNE","Brickellia nelsonii","","","","","",""
"BRNE2","","BRNE2","Brickellia nevinii","L48(N)","","","","",""
"BROB","","BROB","Brickellia oblongifolia","L48(N)CAN(N)","","","","",""
"BROBL","","BROBL","Brickellia oblongifolia var. linifolia","L48(N)","","","","",""
"BROBO","","BROBO","Brickellia oblongifolia var. oblongifolia","L48(N)CAN(N)","","","","",""
"BRPA","","BRPA","Brickellia parvula","L48(N)","","","","",""
"BRPR","","BRPR","Brickellia pringlei","L48(N)","","","","",""
"BRRU","","BRRU","Brickellia rusbyi","L48(N)","","","","",""
"BRSI2","","BRSI2","Brickellia simplex","L48(N)","","","","",""
"BRVE","","BRVE","Brickellia venosa","L48(N)","","","","",""
"BRVE2","","BRVE2","Brickellia veronicifolia","L48(N)","","","","",""
"BRVEP","","BRVEP","Brickellia veronicifolia var. petrophila","L48(N)","","","","",""
"BRVEV","","BRVEV","Brickellia veronicifolia var. veronicifolia","L48(N)","","","","",""
"BRICK3","","BRICK3","Brickelliastrum","L48(N)","","","","",""
"BRFE2","","BRFE2","Brickelliastrum fendleri","L48(N)","","","","",""
"BRIDE","","BRIDE","Bridelia","","","","","",""
"BRIN19","","BRIN19","Bridelia insulana","L48(N)","","","","",""
"BRIGA","","BRIGA","Brigantiaea","NA(N)","","","","",""
"BRFU2","","BRFU2","Brigantiaea fuscolutea","NA(N)","","","","",""
"BRLE8","","BRLE8","Brigantiaea leucoxantha","NA(N)","","","","",""
"BRPU18","","BRPU18","Brigantiaea purpurata","NA(N)","","","","",""
"BRIGH","","BRIGH","Brighamia","","","","","",""
"BRIN4","","BRIN4","Brighamia insignis","HI(N)","","","","",""
"BRRO","","BRRO","Brighamia rockii","HI(N)","","","","",""
"BRIZA","","BRIZA","Briza","L48(I)CAN(I,W)","","","","",""
"BRHU4","","BRHU4","Briza humilis","","","","","",""
"BRLA21","","BRLA21","Briza lamarckiana","","","","","",""
"BRMA","","BRMA","Briza maxima","L48(I)HI(I)CAN(I)","","","","",""
"BRME","","BRME","Briza media","L48(I)CAN(W)","","","","",""
"BRMEE","","BRMEE","Briza media ssp. elatior","","","","","",""
"BRMI2","","BRMI2","Briza minor","L48(I)HI(I)CAN(I)","","","","",""
"BRSU15","","BRSU15","Briza subaristata","","","","","",""
"BRUN5","","BRUN5","Briza uniolae","","","","","",""
"BRODI","","BRODI","Brodiaea","L48(N)CAN(N)","","","","",""
"BRAP","","BRAP","Brodiaea appendiculata","L48(N)","","","","",""
"BRCA4","","BRCA4","Brodiaea californica","L48(N)","","","","",""
"BRCAC9","","BRCAC9","Brodiaea californica ssp. californica","L48(N)","","","","",""
"BRCAL3","","BRCAL3","Brodiaea californica ssp. leptandra","L48(N)","","","","",""
"BRCO3","","BRCO3","Brodiaea coronaria","L48(N)CAN(N)","","","","",""
"BRCOC","","BRCOC","Brodiaea coronaria ssp. coronaria","L48(N)CAN(N)","","","","",""
"BRCOR2","","BRCOR2","Brodiaea coronaria ssp. rosea","L48(N)","","","","",""
"BREL","","BREL","Brodiaea elegans","L48(N)","","","","",""
"BRELE","","BRELE","Brodiaea elegans ssp. elegans","L48(N)","","","","",""
"BRELH","","BRELH","Brodiaea elegans ssp. hooveri","L48(N)","","","","",""
"BRFI","","BRFI","Brodiaea filifolia","L48(N)","","","","",""
"BRIN5","","BRIN5","Brodiaea insignis","L48(N)","","","","",""
"BRJO","","BRJO","Brodiaea jolonensis","L48(N)","","","","",""
"BRKI","","BRKI","Brodiaea kinkiensis","L48(N)","","","","",""
"BRMA7","","BRMA7","Brodiaea matsonii","L48(N)","","","","",""
"BRMI3","","BRMI3","Brodiaea minor","L48(N)","","","","",""
"BRNA4","","BRNA4","Brodiaea nana","L48(N)","","","","",""
"BROR","","BROR","Brodiaea orcuttii","L48(N)","","","","",""
"BRPA2","","BRPA2","Brodiaea pallida","L48(N)","","","","",""
"BRSA","","BRSA","Brodiaea santarosae","L48(N)","","","","",""
"BRST","","BRST","Brodiaea stellaris","L48(N)","","","","",""
"BRTE4","","BRTE4","Brodiaea terrestris","L48(N)","","","","",""
"BRTEK","","BRTEK","Brodiaea terrestris ssp. kernensis","L48(N)","","","","",""
"BRTET","","BRTET","Brodiaea terrestris ssp. terrestris","L48(N)","","","","",""
"BRODO2","","BRODO2","Brodoa","NA(N)","","","","",""
"BROR60","","BROR60","Brodoa oroarctica","NA(N)","","","","",""
"BROME","","BROME","Bromelia","L48(I)","","","","",""
"BRBA6","","BRBA6","Bromelia balansae","","","","","",""
"BRPI4","","BRPI4","Bromelia pinguin","L48(I)PR(N)VI(I)","","","","",""
"BRPL3","","BRPL3","Bromelia plumieri","","","","","",""
"BROMI","","BROMI","Bromidium","L48(I)","","","","",""
"BRTA","","BRTA","Bromidium tandilense","L48(I)","","","","",""
"BROMU","","BROMU","Bromus","L48(I,N)GL(I)SPM(I,N)","","","","",""
"BRAL6","","BRAL6","Bromus aleutensis","L48(N)AK(N)CAN(N)","","","","",""
"BRAL2","","BRAL2","Bromus alopecuros","L48(I)","","","","",""
"BRAN","","BRAN","Bromus anomalus","L48(N)CAN(N)","","","","",""
"BRAR3","","BRAR3","Bromus arenarius","L48(I)","","","","",""
"BRAR4","","BRAR4","Bromus arizonicus","L48(N)","","","","",""
"BRAR5","","BRAR5","Bromus arvensis","L48(I)CAN(I)","","","","","SWSS"
"BRAU4","","BRAU4","Bromus auleticus","","","","","",""
"BRBA4","","BRBA4","Bromus barcensis","","","","","",""
"BRBE6","","BRBE6","Bromus berteroanus","L48(I)","","","","",""
"BRBI2","","BRBI2","Bromus biebersteinii","","","","","",""
"BRBR14","","BRBR14","Bromus brachyanthera","","","","","",""
"BRBRU","","BRBRU","Bromus brachyanthera ssp. uruguayensis","","","","","",""
"BRBR12","","BRBR12","Bromus brachystachys","","","","","",""
"BRBR5","","BRBR5","Bromus briziformis","L48(I)AK(I)CAN(I)","","","","",""
"BRBR13","","BRBR13","Bromus bromoideus","","","","","",""
"BRCA27","","BRCA27","Bromus cappadocicus","","","","","",""
"BRCA5","","BRCA5","Bromus carinatus","L48(N)AK(I)CAN(N)","","","","","WSWS"
"BRCA6","","BRCA6","Bromus catharticus","L48(I)HI(I)CAN(I)","","","","","SEEPPC, SWSS, WSWS"
"BRCI2","","BRCI2","Bromus ciliatus","L48(N)AK(N)CAN(N)SPM(N)","","","","",""
"BRCIC3","","BRCIC3","Bromus ciliatus var. ciliatus","L48(N)AK(N)CAN(N)SPM(N)","","","","",""
"BRCIR","","BRCIR","Bromus ciliatus var. richardsonii","L48(N)AK(N)CAN(N)","","","","",""
"BRDA80","","BRDA80","Bromus danthoniae","CAN(W?)NA(W?)","","","","",""
"BRDI3","","BRDI3","Bromus diandrus","L48(I)HI(I)CAN(I)","","","","","Cal-IPC, SWSS"
"BRDID2","","BRDID2","Bromus diandrus ssp. diandrus","L48(I)CAN(I)","","","","",""
"BRDIR","","BRDIR","Bromus diandrus ssp. rigidus","L48(I)HI(I)CAN(I)","","","","",""
"BRER3","","BRER3","Bromus erectus","L48(I)CAN(I)","","","","",""
"BRFR2","","BRFR2","Bromus frondosus","L48(N)","","","","",""
"BRGR4","","BRGR4","Bromus grandis","L48(N)","","","","",""
